Name,Released year,Genre,Director,Runtime (h),Score,Status,Language,Budget ($),Revenue ($)
Fast X,2023,"'Action', 'Crime', 'Thriller'",Dan Mazeau,2.37,72.0,Released,English,340000000.0,704709660.0
Trolls Band Together,2023,"'Animation', 'Family', 'Music', 'Fantasy', 'Comedy'",Thomas Dam,1.53,72.0,Released,English,95000000.0,173800000.0
Robot Apocalypse,2021,"'Science Fiction', 'Action'",Marcus Friedlander,1.45,21.0,Released,English,,
Five Nights at Freddy's,2023,"'Horror', 'Mystery'",Emma Tammi,1.83,78.0,Released,English,20000000.0,286700000.0
Oppenheimer,2023,"'Drama', 'History'",Christopher Nolan,3.02,81.0,Released,English,100000000.0,951000000.0
Wifelike,2022,"'Science Fiction', 'Mystery', 'Thriller'",James Bird,1.77,71.0,Released,English,,
The Bad Guys: A Very Bad Holiday,2023,"'Animation', 'Comedy', 'Family'",Bret Haaland,,61.0,Released,English,,
Freelance,2023,"'Action', 'Comedy'",Pierre Morel,1.8,65.0,Released,English,40000000.0,8000000.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"'Action', 'Romance', 'Drama'",Francis Lawrence,2.62,73.0,Released,English,100000000.0,258400000.0
Mission: Impossible - Dead Reckoning Part One,2023,"'Action', 'Thriller'",Christopher McQuarrie,2.73,76.0,Released,English,291000000.0,567148955.0
Come Out Fighting,2023,"'War', 'Drama', 'Action'",Steven Luke,1.58,51.0,Released,English,,
Reign of Chaos,2022,"'Action', 'Horror', 'Fantasy'",Rebecca Matthews,1.28,55.0,Released,English,10000.0,100.0
Killers of the Flower Moon,2023,"'Crime', 'Drama', 'History'",Martin Scorsese,3.43,77.0,Released,English,200000000.0,155500000.0
The Creator,2023,"'Action', 'Adventure', 'Drama'",Gareth Edwards,2.23,71.0,Released,English,80000000.0,104000000.0
Shockwave: Countdown to Disaster,2017,"'Action', 'Science Fiction', 'Adventure', 'Thriller'",Nick Lyon,1.5,56.0,Released,English,,
The Dark Kingdom,2018,"'Fantasy', 'Adventure', 'Science Fiction', 'Action'",Simon Wells,1.42,53.0,Released,English,126580.0,
The Marvels,2023,"'Science Fiction', 'Adventure', 'Action'",Nia DaCosta,1.75,66.0,Released,English,274800000.0,199400000.0
Leo,2023,"'Animation', 'Comedy', 'Family'",Robert Smigel,1.7,76.0,Released,English,,
Expend4bles,2023,"'Action', 'Adventure', 'Thriller'",Tad Daggerhart,1.72,64.0,Released,English,100000000.0,58000000.0
Wonka,2023,"'Comedy', 'Family', 'Fantasy'",Paul King,1.95,69.0,Released,English,125000000.0,43200000.0
Avatar: The Way of Water,2022,"'Science Fiction', 'Adventure', 'Action'",James Cameron,3.2,77.0,Released,English,460000000.0,2320250281.0
How the Grinch Stole Christmas,2000,"'Family', 'Comedy', 'Fantasy'",Ron Howard,1.73,68.0,Released,English,123000000.0,345800000.0
The Naughty Nine,2023,"'Family', 'Adventure', 'Comedy', 'TV Movie'",Alberto Belli,1.38,62.0,Released,English,,
Inferno,1999,"'Action', 'Drama', 'Romance'",John G. Avildsen,1.58,61.0,Released,English,15000000.0,
Krampus,2015,"'Horror', 'Comedy', 'Fantasy'",Michael Dougherty,1.63,62.0,Released,English,15000000.0,61788393.0
Spider-Man: Across the Spider-Verse,2023,"'Animation', 'Action', 'Adventure', 'Science Fiction'",Joaquim Dos Santos,2.33,84.0,Released,English,100000000.0,690500000.0
Napoleon,2023,"'Drama', 'History', 'War'",Ridley Scott,2.63,64.0,Released,English,165000000.0,170800000.0
The Grinch,2018,"'Animation', 'Family', 'Comedy', 'Fantasy'",Scott Mosier,1.42,68.0,Released,English,75000000.0,508600000.0
The Immortal Wars: Rebirth,2021,'Science Fiction',Joe Lujan,1.4,35.0,Released,English,,
Transformers: Rise of the Beasts,2023,"'Action', 'Adventure', 'Science Fiction'",Joby Harold,2.12,74.0,Released,English,195000000.0,429800000.0
Candy Cane Lane,2023,"'Comedy', 'Fantasy', 'Family'",Reginald Hudlin,,64.0,Released,English,,
Godzilla Minus One,2023,"'Drama', 'Science Fiction', 'Action'",Takashi Yamazaki,2.08,85.0,Released,Japanese,13000000.0,52000000.0
The Equalizer 3,2023,"'Action', 'Thriller', 'Crime'",Richard Lindheim,1.8199999999999998,74.0,Released,English,70000000.0,190000000.0
Meg 2: The Trench,2023,"'Action', 'Science Fiction', 'Horror'",Ben Wheatley,1.9300000000000002,67.0,Released,English,129000000.0,384056482.0
Mousa,2021,"'Action', 'Adventure', 'Science Fiction'",Peter Mimi,1.6800000000000002,66.0,Released,Arabic,,
John Wick: Chapter 4,2023,"'Action', 'Thriller', 'Crime'",Derek Kolstad,2.83,78.0,Released,English,90000000.0,426978565.0
Princess Khutulun,2021,"'History', 'Action', 'Drama'",S. Baasanjargal,1.8,71.0,Released,Mongolian,,
The Super Mario Bros. Movie,2023,"'Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy'",Michael Jelenic,1.55,77.0,Released,English,100000000.0,1362000000.0
Agent Jade Black,2020,'Action',Terry Spears,1.6800000000000002,13.0,Released,English,,
A Man of Reason,2023,"'Action', 'Drama', 'Thriller'",Jung Woo-sung,1.72,66.0,Released,Korean,,
The Hunger Games: Mockingjay - Part 1,2014,"'Science Fiction', 'Adventure', 'Thriller'",Francis Lawrence,2.05,68.0,Released,English,125000000.0,755356711.0
Barbie,2023,"'Comedy', 'Adventure', 'Fantasy'",Greta Gerwig,1.9,72.0,Released,English,145000000.0,1441800000.0
Blue Beetle,2023,"'Action', 'Science Fiction', 'Adventure'",Ángel Manuel Soto,2.13,69.0,Released,English,104000000.0,128600000.0
Elemental,2023,"'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance'",Peter Sohn,1.7,77.0,Released,English,200000000.0,490797988.0
The Nun II,2023,"'Horror', 'Mystery', 'Thriller'",Akela Cooper,1.83,69.0,Released,English,38500000.0,268100000.0
PAW Patrol: The Mighty Movie,2023,"'Animation', 'Family', 'Action', 'Science Fiction', 'Comedy'",Cal Brunker,1.53,69.0,Released,English,30000000.0,192400000.0
Saw X,2023,"'Horror', 'Thriller'",Kevin Greutert,1.97,74.0,Released,English,13000000.0,100900000.0
Top Gun: Maverick,2022,"'Action', 'Drama'",Jack Epps Jr.,2.18,82.0,Released,English,170000000.0,1488732821.0
Sound of Freedom,2023,"'Action', 'Drama'",Alejandro Gómez Monteverde,2.18,81.0,Released,English,14500000.0,249125713.0
Home Alone 2: Lost in New York,1992,"'Comedy', 'Family', 'Adventure'",Chris Columbus,,67.0,Released,English,18000000.0,358994850.0
Casper's Haunted Christmas,2000,"'Animation', 'Family', 'Fantasy'",Owen Hurley,1.4,53.0,Released,English,,
Jawan,2023,"'Action', 'Adventure', 'Thriller'",Atlee,2.82,73.0,Released,Hindi,36150000.0,136698671.0
Denard: Anatomy of an Antihero,2021,'Action',Alan Delabie,1.33,0.0,Released,English,,
Extraction Point,2021,"'Science Fiction', 'Action', 'Thriller'",Franklin Correa,1.22,57.0,Released,English,,
Indiana Jones and the Dial of Destiny,2023,"'Adventure', 'Action'",James Mangold,2.58,67.0,Released,English,294700000.0,383922132.0
Gran Turismo,2023,"'Adventure', 'Action', 'Drama'",Neill Blomkamp,2.25,80.0,Released,English,60000000.0,114800000.0
Wish,2023,"'Animation', 'Family', 'Fantasy', 'Adventure'",Fawn Veerasunthorn,1.58,67.0,Released,English,175000000.0,105500000.0
Godzilla x Kong: The New Empire,2024,"'Action', 'Science Fiction', 'Adventure'",Adam Wingard,,0.0,In Production,English,,
Dragon Ball: Mystical Adventure,1988,"'Action', 'Animation'",Kazuhisa Takenouchi,,68.0,Released,Japanese,,8201600.0
Hell House LLC Origins: The Carmichael Manor,2023,"'Horror', 'Mystery'",Stephen Cognetti,1.63,63.0,Released,English,,
Family Switch,2023,"'Comedy', 'Fantasy', 'Family'",McG,1.77,64.0,Released,English,,
Retribution,2023,"'Action', 'Thriller', 'Crime'",Nimród Antal,1.52,70.0,Released,English,20000000.0,16700000.0
Godland,2022,'Drama',Hlynur Pálmason,2.38,70.0,Released,Danish,5000000.0,60115.0
My Fault,2023,"'Drama', 'Romance'",Domingo González,1.95,81.0,Released,Spanish; Castilian,,
Charlie and the Chocolate Factory,2005,"'Adventure', 'Comedy', 'Family', 'Fantasy'",Roald Dahl,1.92,70.0,Released,English,150000000.0,475000000.0
Godzilla vs. Kong,2021,"'Action', 'Science Fiction', 'Thriller'",Adam Wingard,1.9,76.0,Released,English,200000000.0,470116094.0
A Tale of Two Guns,2022,'Western',Justin Lee,1.52,53.0,Released,English,,
No Name and Dynamite,2022,'Western',Errol Sack,1.52,55.0,Released,English,,
Mega Lightning,2022,"'Action', 'Horror', 'Science Fiction'",David Gregory,1.5,45.0,Released,English,,
The Exorcist: Believer,2023,'Horror',David Gordon Green,1.85,62.0,Released,English,30000000.0,134800000.0
Spider-Man: No Way Home,2021,"'Action', 'Adventure', 'Science Fiction'",Steve Ditko,2.4699999999999998,80.0,Released,English,200000000.0,1921847111.0
Puss in Boots: The Last Wish,2022,"'Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Action'",Tommy Swerdlow,1.72,83.0,Released,English,90000000.0,484700000.0
Aquaman and the Lost Kingdom,2023,"'Action', 'Adventure', 'Fantasy'",James Wan,2.07,0.0,Post Production,English,215000000.0,
Mavka: The Forest Song,2023,"'Animation', 'Adventure', 'Family', 'Fantasy'",Oleksandra Ruban,1.65,73.0,Released,Ukrainian,5000000.0,17300000.0
Blood Widow,2014,'Horror',Jeremiah Buckhalt,1.4,48.0,Released,English,,
The Flash,2023,"'Action', 'Adventure', 'Science Fiction'",Carmine Infantino,2.4,68.0,Released,English,300000000.0,268400000.0
Leave the World Behind,2023,"'Drama', 'Mystery', 'Thriller', 'Science Fiction'",Sam Esmail,2.35,67.0,Released,English,,
The Survivor,2022,"'History', 'Action', 'Drama'",Barry Levinson,2.15,72.0,Released,English,,
Christmas Bloody Christmas,2022,'Horror',Joe Begos,1.45,56.0,Released,English,,
Big Tit Monastery,1995,,Sachi Hamano,,60.0,Released,Japanese,,
Thanksgiving,2023,"'Horror', 'Thriller', 'Mystery'",Eli Roth,1.77,63.0,Released,English,15000000.0,42300000.0
The Mercenary,2020,'Action',Jesse V. Johnson,1.52,63.0,Released,English,,
Willy Wonka & the Chocolate Factory,1971,"'Family', 'Fantasy', 'Comedy'",Mel Stuart,1.65,75.0,Released,English,3000000.0,4000000.0
Believer 2,2023,"'Crime', 'Action', 'Thriller'",Baik,1.9300000000000002,71.0,Released,Korean,,
Muzzle,2023,"'Action', 'Crime', 'Drama', 'Thriller'",John Stalberg Jr.,1.67,66.0,Released,English,,7807.0
May December,2023,"'Drama', 'Comedy'",Samy Burch,1.95,67.0,Released,English,20000000.0,223505.0
Infinite,2021,"'Science Fiction', 'Action', 'Thriller'",Antoine Fuqua,1.77,66.0,Released,English,,
Godzilla: King of the Monsters,2019,"'Science Fiction', 'Action'",Michael Dougherty,2.2,67.0,Released,English,170000000.0,386600138.0
Deadpool 2,2018,"'Action', 'Comedy', 'Adventure'",David Leitch,,75.0,Released,English,110000000.0,785900000.0
Iké Boys,2022,"'Fantasy', 'Adventure'",Eric McEver,1.47,55.0,Released,English,,
Guardians of the Galaxy Vol. 3,2023,"'Science Fiction', 'Adventure', 'Action'",James Gunn,2.5,80.0,Released,English,250000000.0,845600000.0
Exploits of a Young Don Juan,1986,"'Comedy', 'Drama'",Gianfranco Mingozzi,1.67,56.0,Released,French,,
White Sky,2021,"'Science Fiction', 'Horror'",Adam Wilson,1.75,30.0,Released,English,,
Girl Next,2021,"'Horror', 'Thriller'",Larry Wade Carrell,1.7,56.0,Released,English,1000000.0,
Talk to Me,2023,"'Horror', 'Thriller'",Danny Philippou,1.58,72.0,Released,English,4500000.0,90600000.0
The Velveteen Rabbit,2023,"'Animation', 'Family', 'Fantasy'",Jennifer Perrott,,75.0,Released,English,,
The Little Mermaid,2023,"'Adventure', 'Family', 'Fantasy', 'Romance'",Rob Marshall,2.25,65.0,Released,English,297000000.0,569600000.0
Hunting Souls,2022,'Horror',Diego Silva Acevedo,1.55,68.0,Released,English,,
Elijo creer,2023,'Documentary',Martín Méndez,,80.0,Released,Spanish; Castilian,,
Uri: The Surgical Strike,2019,"'Action', 'Drama', 'War'",Aditya Dhar,2.3,72.0,Released,Hindi,,
Harry Potter and the Philosopher's Stone,2001,"'Adventure', 'Fantasy'",Chris Columbus,2.5300000000000002,79.0,Released,English,125000000.0,976475550.0
Harry Potter and the Goblet of Fire,2005,"'Adventure', 'Fantasy'",Mike Newell,2.62,78.0,Released,English,150000000.0,895921036.0
The Monkey King: Reborn,2021,"'Animation', 'Action', 'Fantasy', 'Family'",Wang Yunfei,1.58,72.0,Released,Chinese,20000000.0,13000000.0
Black Adam,2022,"'Action', 'Adventure', 'Science Fiction'",C.C. Beck,2.07,70.0,Released,English,200000000.0,393252111.0
Avengers: Infinity War,2018,"'Adventure', 'Action', 'Science Fiction'",Keith Giffen,2.48,83.0,Released,English,300000000.0,2052415039.0
Babylon A.D.,2008,"'Action', 'Adventure', 'Science Fiction', 'Thriller'",Mathieu Kassovitz,1.6800000000000002,56.0,Released,English,70000000.0,72109200.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"'Adventure', 'Family', 'Fantasy'",Andrew Adamson,2.38,71.0,Released,English,180000000.0,745013115.0
One Piece: Episode of Skypiea,2018,"'Animation', 'Action', 'Adventure', 'Comedy'",Konosuke Uda,1.73,69.0,Released,Japanese,,
In the Land of Saints and Sinners,2023,"'Crime', 'Drama', 'Thriller'",Robert Lorenz,1.77,67.0,Released,English,,
Jurassic World Dominion,2022,"'Adventure', 'Action', 'Science Fiction'",Colin Trevorrow,2.45,68.0,Released,English,165000000.0,1001978080.0
Harry Potter and the Chamber of Secrets,2002,"'Adventure', 'Fantasy'",Chris Columbus,2.68,77.0,Released,English,100000000.0,876688482.0
After Everything,2023,"'Romance', 'Drama'",Castille Landon,1.55,70.0,Released,English,14000000.0,10600000.0
"Miraculous: Ladybug & Cat Noir, The Movie",2023,"'Animation', 'Family', 'Fantasy', 'Action', 'Romance', 'Music'",Jeremy Zag,1.78,78.0,Released,French,86000000.0,39357124.0
Nowhere,2023,"'Thriller', 'Drama'",Indiana Lista,1.8199999999999998,75.0,Released,Spanish; Castilian,,
Ant-Man and the Wasp: Quantumania,2023,"'Action', 'Adventure', 'Science Fiction'",Stan Lee,2.08,64.0,Released,English,200000000.0,476071180.0
Cobweb,2023,'Horror',Samuel Bodin,1.47,68.0,Released,English,,5569593.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"'Animation', 'Comedy', 'Action', 'Science Fiction'",Jeff Rowe,1.67,73.0,Released,English,75000000.0,180000000.0
Rascal Does Not Dream of a Sister Venturing Out,2023,"'Animation', 'Drama'",Souichi Masui,1.23,85.0,Released,Japanese,,
Black Panther: Wakanda Forever,2022,"'Action', 'Adventure', 'Science Fiction'",Ryan Coogler,2.7,72.0,Released,English,250000000.0,859102154.0
Thriller Night,2011,'Animation',Sean Bishop,,69.0,Released,English,,
The Hunger Games: Mockingjay - Part 2,2015,"'Action', 'Adventure', 'Science Fiction'",Francis Lawrence,2.2800000000000002,69.0,Released,English,160000000.0,653428261.0
Thor: Love and Thunder,2022,"'Fantasy', 'Action', 'Comedy'",Taika Waititi,1.98,65.0,Released,English,250000000.0,760928081.0
Creed III,2023,"'Drama', 'Action'",Zach Baylin,1.9300000000000002,72.0,Released,English,75000000.0,275248615.0
Doctor Strange in the Multiverse of Madness,2022,"'Fantasy', 'Action', 'Adventure'",Stan Lee,2.1,73.0,Released,English,200000000.0,955775804.0
57 Seconds,2023,"'Thriller', 'Science Fiction', 'Action'",Rusty Cundieff,1.65,58.0,Released,English,,
Black Butler: Book of Murder,2014,"'Mystery', 'Animation', 'Adventure'",Noriyuki Abe,1.9300000000000002,81.0,Released,Japanese,,
Rally Road Racers,2023,"'Animation', 'Family', 'Comedy'",Ross Venokur,1.53,74.0,Released,English,,
Interstellar,2014,"'Adventure', 'Drama', 'Science Fiction'",Christopher Nolan,2.82,84.0,Released,English,165000000.0,701729206.0
Godzilla,2014,"'Action', 'Drama', 'Science Fiction'",Gareth Edwards,2.05,63.0,Released,English,160000000.0,529100000.0
Radical,2023,'Drama',Christopher Zalla,2.12,76.0,Released,English,10000000.0,19900000.0
The Mongolian Connection,2019,'Action',Drew Thomas,1.63,65.0,Released,English,,
Harry Potter and the Deathly Hallows: Part 1,2010,"'Adventure', 'Fantasy'",David Yates,2.43,78.0,Released,English,250000000.0,954305868.0
The Night Crew,2015,"'Thriller', 'Action', 'Mystery'",Christian Sesma,1.48,53.0,Released,English,3000000.0,
Mount Adams,2021,"'Action', 'Adventure', 'Science Fiction'",Phillip Wade,1.5699999999999998,0.0,Released,English,,
It's a Wonderful Knife,2023,"'Horror', 'Thriller', 'Comedy'",Tyler MacIntyre,1.45,52.0,Released,English,,826000.0
