Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
Krampus,2015,"['Horror', 'Comedy', 'Fantasy']",Michael Dougherty,1h 38m,62.0,Released,English,"$15,000,000.00","$61,800,000.00"
Killers of the Flower Moon,2023,"['Crime', 'Drama', 'History']",Martin Scorsese,3h 26m,77.0,Released,English,"$200,000,000.00","$155,500,000.00"
Trolls Band Together,2023,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']",Thomas Dam,1h 32m,72.0,Released,English,"$95,000,000.00","$173,800,000.00"
Shockwave: Countdown to Disaster,2017,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",Nick Lyon,1h 30m,56.0,Released,English,-,-
Good Boy,2022,"['Horror', 'Thriller']",Viljar Bøe,1h 16m,68.0,Released,Norwegian,"$8,500.00",-
Fast X,2023,"['Action', 'Crime', 'Thriller']",Dan Mazeau,2h 22m,72.0,Released,English,"$340,000,000.00","$704,709,660.00"
A Man of Reason,2023,"['Action', 'Drama', 'Thriller']",Jung Woo-sung,1h 43m,63.0,Released,Korean,-,-
Leave the World Behind,2023,"['Drama', 'Mystery', 'Thriller', 'Science Fiction']",Sam Esmail,2h 21m,67.0,Released,English,-,-
Leo,2023,"['Animation', 'Comedy', 'Family']",Robert Smigel,1h 42m,76.0,Released,English,-,-
Christmas Bloody Christmas,2022,['Horror'],Joe Begos,1h 27m,56.0,Released,English,-,-
Mount Adams,2021,"['Action', 'Adventure', 'Science Fiction']",Phillip Wade,1h 34m,65.0,Released,English,-,-
The Dark Kingdom,2018,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']",Simon Wells,1h 25m,57.0,Released,English,"$126,580.00",-
Oppenheimer,2023,"['Drama', 'History']",Christopher Nolan,3h 1m,81.0,Released,English,"$100,000,000.00","$951,000,000.00"
Freelance,2023,"['Action', 'Comedy']",Pierre Morel,1h 48m,64.0,Released,English,"$40,000,000.00","$8,900,000.00"
Wifelike,2022,"['Science Fiction', 'Mystery', 'Thriller']",James Bird,1h 46m,70.0,Released,English,-,-
Robot Apocalypse,2021,"['Science Fiction', 'Action']",Marcus Friedlander,1h 27m,61.0,Released,English,-,-
Five Nights at Freddy's,2023,"['Horror', 'Mystery']",Emma Tammi,1h 50m,78.0,Released,English,"$20,000,000.00","$286,700,000.00"
A Tale of Two Guns,2022,['Western'],Justin Lee,1h 31m,62.0,Released,English,-,-
Wonka,2023,"['Comedy', 'Family', 'Fantasy']",Paul King,1h 57m,72.0,Released,English,"$125,000,000.00","$43,200,000.00"
The Creator,2023,"['Action', 'Adventure', 'Drama']",Gareth Edwards,2h 14m,71.0,Released,English,"$80,000,000.00","$104,000,000.00"
The Equalizer 3,2023,"['Action', 'Thriller', 'Crime']",Richard Lindheim,1h 49m,74.0,Released,English,"$70,000,000.00","$190,000,000.00"
Rumble Through the Dark,2023,"['Thriller', 'Action']",Parker Phillips,1h 56m,69.0,Released,English,-,-
Aquaman and the Lost Kingdom,2023,"['Action', 'Adventure', 'Fantasy']",James Wan,2h 4m,0.0,Post Production,English,"$215,000,000.00",-
Mission: Impossible - Dead Reckoning Part One,2023,"['Action', 'Thriller']",Christopher McQuarrie,2h 44m,76.0,Released,English,"$291,000,000.00","$567,500,000.00"
Hard Days,2023,"['Thriller', 'Crime', 'Action', 'Drama']",Michihito Fujii,1h 58m,70.0,Released,Japanese,-,-
The Marvels,2023,"['Science Fiction', 'Adventure', 'Action']",Nia DaCosta,1h 45m,65.0,Released,English,"$274,800,000.00","$199,400,000.00"
Extraction Point,2021,"['Science Fiction', 'Action', 'Thriller']",Franklin Correa,1h 13m,54.0,Released,English,-,-
Expend4bles,2023,"['Action', 'Adventure', 'Thriller']",Kurt Wimmer,1h 43m,64.0,Released,English,"$100,000,000.00","$58,000,000.00"
The Bad Guys: A Very Bad Holiday,2023,"['Animation', 'Comedy', 'Family']",Bret Haaland,26m,68.0,Released,English,-,-
Diary of a Wimpy Kid Christmas: Cabin Fever,2023,"['Animation', 'Comedy', 'Family']",Luke Cormican,1h 4m,66.0,Released,English,-,-
Agent Jade Black,2020,['Action'],Terry Spears,1h 41m,13.0,Released,English,-,-
Reign of Chaos,2022,"['Action', 'Horror', 'Fantasy']",Rebecca Matthews,1h 17m,57.0,Released,English,"$10,000.00",$100.00
Godzilla Minus One,2023,"['Science Fiction', 'Horror', 'Action']",Takashi Yamazaki,2h 5m,82.0,Released,Japanese,"$13,000,000.00","$52,000,000.00"
Come Out Fighting,2023,"['War', 'Drama', 'Action']",Steven Luke,1h 26m,51.0,Released,English,-,-
The Collective,2023,"['Action', 'Thriller']",Tom DeNucci,1h 26m,53.0,Released,English,-,-
Digimon Adventure 02: The Beginning,2023,"['Adventure', 'Animation', 'Fantasy']",Tomohisa Taguchi,1h 27m,68.0,Released,Japanese,-,-
Transformers: Rise of the Beasts,2023,"['Action', 'Adventure', 'Science Fiction']",Joby Harold,2h 7m,74.0,Released,English,"$195,000,000.00","$439,000,000.00"
The Super Mario Bros. Movie,2023,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",Michael Jelenic,1h 33m,77.0,Released,English,"$100,000,000.00","$1,362,000,000.00"
Elemental,2023,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",Peter Sohn,1h 42m,77.0,Released,English,"$200,000,000.00","$496,000,000.00"
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"['Action', 'Romance', 'Drama']",Francis Lawrence,2h 37m,72.0,Released,English,"$100,000,000.00","$258,400,000.00"
