Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
2775634.0,1391085.0,1384548.0,None,None,None,None,None,None,None,11.808,18882095517.8768,None,-347003550.608182,3517362880.64872,None,None,None,None,None,None,None,None,None,2022,Albania
2811666.0,1407212.0,1404454.0,10.24,11.325,9.0,21.56278,34.61804,39.18639,17.4592,12.683,17930565118.8176,None,-249598404.173107,3291715601.81607,None,None,None,74.087,79.173,95.9217834472656,56.7215309143066,98.1558303833008,99.4199981689453,2021,Albania
2837849.0,1418585.0,1419264.0,10.285,10.785,9.0,20.78154,35.54197,40.16925,16.81283,13.067,15162734205.2462,-5.15442352629464,-250229603.313392,2915069419.23608,None,44.58,None,74.632,79.676,100.151916503906,57.8131408691406,100.732406616211,None,2020,Albania
2854191.0,1425364.0,1428828.0,10.343,8.48,9.0,20.15067,36.41685,41.60022,16.2039,11.47,15401826080.5183,1.11669142130533,-201581538.601589,2832292983.66725,None,40.11,None,77.168,81.666,104.81273651123,59.7784996032715,103.322746276855,None,2019,Albania
2866376.0,1430495.0,1435881.0,10.517,8.308,9.0,19.74566,37.28573,42.27174,15.57318,12.3,15156424061.9815,3.96443513419733,-18439164.4223571,2793252460.50915,None,37.83,None,77.037,81.608,106.993423461914,54.9613304138184,101.537857055664,99.3300018310547,2018,Albania
2873457.0,1433238.0,1440219.0,10.87,8.15,9.0,19.38128,38.07835,42.41668,15.09885,13.62,13019726211.7369,2.24848346892735,31791431.8843792,2476628808.46887,None,36.94,None,76.873,81.504,107.046600341797,57.3752593994141,101.983703613281,None,2017,Albania
2876101.0,1433925.0,1442176.0,11.289,8.035,9.0,19.37981,40.04085,45.20496,14.79433,15.42,11861199830.8396,3.30170288151763,192633143.363473,2354447509.91804,None,39.44,None,76.639,81.377,105.553863525391,58.3818511962891,99.8815536499023,None,2016,Albania
2880703.0,1435812.0,1444890.0,11.718,7.947,9.0,18.66982,41.28352,47.66225,14.02868,17.19,11386853143.152,0.367005964722765,134958280.958492,2252343967.07993,None,38.49,None,76.404,81.183,105.542976379395,62.0076217651367,98.8615875244141,None,2015,Albania
2889104.0,1439863.0,1449241.0,12.15,7.868,9.0,17.74006,42.25706,49.86293,11.7598,18.05,13228147516.1168,0.856402078303859,121272184.300341,2644330678.80167,2309.36650255581,38.56,61.4218013942638,76.114,81.013,104.108039855957,65.7829666137695,100.984718322754,None,2014,Albania
2895092.0,1442931.0,1452162.0,12.279,7.819,9.0,16.87796,44.19803,53.13768,10.24382,15.87,12776224537.2743,2.86040927963356,220318856.809381,2499688493.17444,2533.25282927106,41.14,56.3953388128232,75.786,80.781,99.9839096069336,64.6344299316406,89.539176940918,None,2013,Albania
2900401.0,1445914.0,1454486.0,12.227,7.573,9.0,17.27525,45.99563,56.91126,10.58513,13.38,12319834233.2904,-0.703924187764912,-91764999.4993103,2312038884.30993,2118.32777605579,39.91,57.7540817221547,75.73,80.703,97.5851287841797,59.252010345459,98.6721267700195,99.2313995361328,2012,Albania
2905195.0,1449024.0,1456171.0,12.035,7.238,8.0,18.8646,45.38802,54.20344,11.47258,13.48,12890760272.5584,0.500767580088635,3339483.79103862,2349571753.04564,2205.70392004668,35.84,61.5027652749324,75.693,80.798,95.0060806274414,49.8787002563477,92.9826583862305,98.7911911010742,2011,Albania
2913021.0,1454108.0,1458913.0,11.92,7.029,8.0,20.59284,42.08441,53.06408,10.64969,14.09,11926926654.0521,5.66113600762684,-119157179.051345,2141583015.29777,1943.34335385842,36.99,63.2390037485134,75.493,80.688,93.4904708862305,44.5492515563965,88.8362426757813,None,2010,Albania
2927519.0,1462978.0,1464541.0,11.841,6.81,8.0,19.94069,44.05164,57.14599,10.27808,13.67,12044205572.4342,1.21131913006516,-191468624.925307,2022750085.63359,1835.68407241763,37.09,63.4217264005157,75.316,80.544,93.1045608520508,33.3855514526367,91.0514907836914,95.6800003051758,2009,Albania
2947314.0,1474838.0,1472476.0,11.868,6.57,8.0,17.77791,44.65603,56.79253,8.868619,13.06,12881352878.2501,7.33901971351958,65020510.6571997,2168840319.95632,1617.7441562046,35.79,63.8471757910902,75.163,80.429,95.682502746582,32.0928001403809,92.3935928344727,98.8312072753906,2008,Albania
2970017.0,1488396.0,1481621.0,12.07,6.318,8.0,16.49493,45.52278,57.60098,8.051345,15.97,10677324872.8286,4.45344883091524,297972106.376117,1831547689.36012,1213.12436932179,32.0,65.1223924710814,75.1,80.247,96.3456268310547,30.6871299743652,96.1924133300781,None,2007,Albania
2992547.0,1501918.0,1490629.0,12.539,6.477,8.0,15.22977,46.49306,58.68848,7.299049,15.63,8896074996.35876,7.77327637829535,262219209.600372,1575348419.00721,1218.36014605619,31.62,64.4559899021893,74.243,79.686,97.8757095336914,26.6371402740479,None,None,2006,Albania
3011487.0,1513578.0,1497909.0,13.235,6.306,8.0,14.85607,47.29048,59.5594,7.075197,15.97,8052077209.3737,4.31557512926315,162031328.388123,1517438808.85959,1722.07284972507,36.77,66.4866805505628,74.033,79.493,100.676040649414,23.1898307800293,None,None,2005,Albania
3026939.0,1523393.0,1503547.0,13.978,6.181,8.0,14.74574,48.06297,60.33836,7.046078,16.31,7184685781.51876,6.45459018211827,169288871.400381,1475553858.65087,1797.52548696885,35.84,65.5782732614305,73.786,79.237,98.1780014038086,19.8904399871826,93.4377975463867,None,2004,Albania
3039616.0,1531532.0,1508084.0,14.668,6.057,8.0,13.61272,48.5847,61.04437,6.002404,16.989,5611496257.14231,5.57380569116239,150569936.088666,1233309073.68723,1469.26453867857,33.67,64.5283712223687,73.499,79.057,100.005142211914,16.6572399139404,94.4481735229492,None,2003,Albania
3051010.0,1538490.0,1512520.0,15.209,5.953,8.0,13.68999,48.8528,61.31321,6.194437,17.895,4348068242.19512,3.6064292640901,109118141.843143,957666990.964761,1578.16591882688,35.82,63.233130384996,73.22,78.823,101.411506652832,16.311429977417,None,None,2002,Albania
3060173.0,1543533.0,1516640.0,16.12,5.872,8.0,13.05522,49.8112,62.16695,5.96704,18.575,3922100793.5403,10.9782301771201,125993317.555339,890950856.188222,1351.23079642883,39.04,60.9558278415635,72.921,78.618,102.96736907959,15.9046297073364,96.3939437866211,99.4351501464844,2001,Albania
3089027.0,1557540.0,1531486.0,17.076,5.798,8.0,12.38291,50.71598,62.74326,5.784807,19.028,3480355258.04122,11.9689426722074,104651963.77979,853223432.031554,1449.64741324695,41.36,58.7150980055366,72.646,78.419,104.196189880371,15.5366096496582,96.5826873779297,None,2000,Albania
3108778.0,1565927.0,1542851.0,17.982,5.732,8.0,11.881,51.48995,63.40944,5.664438,20.84,3212121650.97755,15.7108402672414,75268211.4409848,832541636.495293,1414.70378393053,42.63,58.2387938547152,72.401,78.209,105.73664855957,14.7477703094482,None,None,1999,Albania
3128530.0,1573432.0,1555099.0,18.803,5.664,8.0,11.54627,52.03003,63.70776,5.574801,20.047,2545964540.88383,6.31365012636016,76522625.0330775,732872453.029902,734.849913537668,49.94,45.2948182996352,72.19,78.021,107.171157836914,13.5501699447632,None,None,1998,Albania
3148281.0,1580008.0,1568273.0,19.81,5.923,None,11.47506,52.39341,63.89701,5.538053,16.876,2258513974.0968,None,50333128.8343558,712413087.93456,694.664802792381,55.93,41.4493402366839,70.773,77.316,108.019882202148,12.6997203826904,None,None,1997,Albania
3168033.0,1585863.0,1582170.0,20.987,5.571,None,11.5647,52.9427,64.5622,5.644692,13.931,3199640825.62258,None,71682274.2181536,1165016862.21627,904.346640328557,51.6,45.453763744009,71.669,77.746,106.301818847656,10.9394502639771,91.5860900878906,None,1996,Albania
3187784.0,1591252.0,1596532.0,21.809,5.549,None,11.81979,53.23449,64.88936,5.649694,14.611,2392764853.42107,None,43600000.0,None,663.783995402449,50.58,49.5416411855723,71.428,77.511,104.043838500977,10.2028198242188,None,None,1995,Albania
3207536.0,1596176.0,1611360.0,22.244,5.52,None,11.61842,53.52712,64.95008,5.580369,20.84,1880950857.78702,None,13800000.0,None,596.407959255952,51.43,54.8469148031933,71.202,77.258,101.528793334961,10.6335802078247,None,None,1994,Albania
3227287.0,1600776.0,1626510.0,22.47,5.48,None,11.48313,53.76894,65.08143,5.514598,25.258,1185315468.46295,None,33900000.4898959,None,536.363825095196,51.12,53.4789779579446,70.957,77.118,98.520263671875,11.1776103973389,None,None,1993,Albania
3247039.0,1605160.0,1641879.0,23.145,5.466,None,11.32435,54.04795,65.31416,5.44642,30.015,652174990.837304,None,-35100000.6663779,None,453.64407387777,46.78,56.079290645733,70.66,76.972,99.5558700561523,9.28732013702393,None,None,1992,Albania
3266790.0,1609526.0,1657265.0,23.723,5.515,None,11.43637,54.24868,65.97959,5.452127,10.307,1099559027.77778,None,-21700000.0,None,418.45358899715,32.98,69.8249960719512,70.321,76.631,101.23314666748,8.85533046722412,None,None,1991,Albania
3286542.0,1613977.0,1672564.0,24.415,5.526,None,None,None,None,None,None,2028553750.0,None,-1900000.0,None,552.252184819181,25.5,76.5939750800565,70.05,76.433,99.4517517089844,8.36635971069336,None,None,1990,Albania
3227943.0,1580227.0,1647716.0,24.86,5.554,None,None,None,None,None,None,2253090000.0,None,-100000.0,None,1021.39350044285,None,79.6938123131685,69.853,76.076,99.4375076293945,8.14828014373779,None,None,1989,Albania
3142336.0,1533846.0,1608490.0,25.364,5.578,None,None,None,None,None,None,2051236250.0,None,200000.0,None,1005.93953033667,None,80.3814035334453,69.643,75.796,99.5847702026367,7.73795986175537,None,None,1988,Albania
3083605.0,1501223.0,1582382.0,25.685,5.627,None,None,None,None,None,None,2080796250.0,None,400000.0,None,1161.95167669011,None,78.6375113710156,69.476,75.356,101.456420898438,7.32686996459961,None,None,1987,Albania
3022635.0,1468045.0,1554590.0,25.935,5.73,None,None,None,None,None,None,2097326250.0,None,100000.0,None,1420.61479470727,None,77.0583127402526,69.12,74.9,103.563209533691,7.22121000289917,None,None,1986,Albania
2964762.0,1436842.0,1527920.0,26.297,5.794,None,None,None,None,None,None,1897050133.42015,None,1400000.01244988,None,796.353973775973,None,81.4337623759461,68.84,74.589,103.677833557129,7.02590990066528,None,None,1985,Albania
9042528.0,4590655.0,4451873.0,None,None,None,None,None,None,None,4.707,471400066091.247,None,None,6165441818.9689,None,None,None,None,None,None,None,None,None,2022,Austria
8955797.0,4548093.0,4407703.0,9.6,10.3,13.0,25.62526,3.734066,3.397694,12.22419,6.18,480368403893.364,None,2159210710.07748,5822973541.20146,None,None,None,78.8,83.8,None,None,None,None,2021,Austria
8916864.0,4529542.0,4387322.0,9.4,10.3,13.0,25.05321,3.906833,3.42716,11.64678,5.36,435225238000.43,-8.45119741144117,3859137993.30734,4724454343.48631,None,35.77,None,78.9,83.6,102.49870300293,87.2113876342773,99.6652603149414,None,2020,Austria
8879920.0,4511982.0,4367938.0,9.6,9.4,13.0,25.35589,3.656134,3.187657,11.81178,4.49,444621176100.54,1.10474499927456,-1273178359.99998,4678966855.92148,None,33.98,None,79.7,84.2,103.104927062988,86.4755325317383,99.4085006713867,None,2019,Austria
8840521.0,4492714.0,4347806.0,9.7,9.5,13.0,25.43544,3.694112,3.284025,11.89404,4.85,454991174096.094,1.8070234537755,-4455505174.58815,5144143368.345,None,34.08,None,79.4,84.1,103.316848754883,86.688346862793,99.8130035400391,None,2018,Austria
8797566.0,4472047.0,4325519.0,10.0,9.5,13.0,24.92232,3.92985,3.680956,11.42501,5.5,417261151844.981,-0.727502485034066,-3912424818.47063,5051098257.10594,None,33.97,None,79.4,84.0,103.113151550293,85.0571365356445,99.4531784057617,None,2017,Austria
8736668.0,4444108.0,4292559.0,10.0,9.2,10.0,25.56261,4.348164,3.929515,11.99471,6.01,395837353031.51,2.7680095551021,-29886384.0466935,4395047361.78223,None,34.63,None,79.3,84.1,102.264358520508,83.454948425293,99.6567230224609,None,2016,Austria
8642699.0,4406154.0,4236544.0,9.8,9.6,10.0,25.76426,4.531011,4.211493,12.1634,5.72,381971148530.543,-0.642067758903039,-3760915845.35156,4315472578.34375,None,34.82,65.6618219894727,78.8,83.7,101.997482299805,80.7194213867188,100.37378692627,None,2015,Austria
8546356.0,4368440.0,4177916.0,9.6,9.2,10.0,25.75134,4.836893,4.570924,12.73514,5.62,442584815286.027,0.174446259227423,583211844.313714,5314295407.42735,8355.84195182134,35.67,64.8131564661468,79.1,84.0,101.628189086914,79.1586990356445,98.6918487548828,None,2014,Austria
