Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
44273.0,22399.0,21873.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2022,American Samoa
45035.0,22746.0,22289.0,None,None,None,None,None,None,None,None,709000000.0,None,None,None,None,0.52,None,None,None,None,None,None,None,2021,American Samoa
46189.0,23268.0,22921.0,12.7,5.6,None,None,None,None,None,None,716000000.0,None,None,None,None,0.51,None,None,None,None,None,None,None,2020,American Samoa
47321.0,23786.0,23535.0,None,None,None,None,None,None,None,None,647000000.0,None,None,None,None,0.5,None,None,None,None,None,None,None,2019,American Samoa
48424.0,24290.0,24134.0,None,None,None,None,None,None,None,None,639000000.0,None,None,None,None,0.49,None,None,None,None,None,None,None,2018,American Samoa
49463.0,24762.0,24701.0,16.6,5.1,None,None,None,None,None,None,612000000.0,None,None,None,None,0.49,None,None,None,None,None,None,None,2017,American Samoa
50448.0,25208.0,25240.0,None,None,None,None,None,None,None,None,671000000.0,None,None,None,None,0.3,None,None,None,None,None,None,None,2016,American Samoa
51368.0,25629.0,25739.0,None,None,None,None,None,None,None,None,673000000.0,None,None,None,None,0.23,None,None,None,None,None,None,None,2015,American Samoa
52217.0,26017.0,26199.0,17.5,4.2,None,None,None,None,None,None,643000000.0,None,None,None,None,0.23,None,None,None,None,None,None,None,2014,American Samoa
52995.0,26369.0,26627.0,None,None,None,None,None,None,None,None,638000000.0,None,None,None,None,0.24,None,None,None,None,None,None,None,2013,American Samoa
53691.0,26678.0,27014.0,None,None,None,None,None,None,None,None,640000000.0,None,None,None,None,0.14,None,None,None,None,None,None,None,2012,American Samoa
54310.0,26951.0,27358.0,None,None,None,None,None,None,None,None,570000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2011,American Samoa
54849.0,27189.0,27660.0,18.7,None,None,None,None,None,None,None,573000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2010,American Samoa
55366.0,27406.0,27960.0,None,None,None,None,None,None,None,None,675000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2009,American Samoa
55891.0,27626.0,28265.0,None,None,None,None,None,None,None,None,560000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2008,American Samoa
56383.0,27842.0,28541.0,None,None,None,None,None,None,None,None,518000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2007,American Samoa
56837.0,28044.0,28793.0,21.6,4.0,None,None,None,None,None,None,493000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2006,American Samoa
57254.0,28230.0,29024.0,None,None,None,None,None,None,None,None,500000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2005,American Samoa
57626.0,28392.0,29233.0,None,None,None,None,None,None,None,None,509000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2004,American Samoa
57941.0,28521.0,29419.0,None,None,None,None,None,None,None,None,524000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2003,American Samoa
58177.0,28608.0,29570.0,None,None,None,None,None,None,None,None,512000000.0,None,None,None,None,0.0,None,None,None,None,None,None,None,2002,American Samoa
58324.0,28649.0,29674.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,2001,American Samoa
58230.0,28572.0,29657.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,2000,American Samoa
57594.0,28234.0,29360.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1999,American Samoa
56603.0,27730.0,28874.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1998,American Samoa
55578.0,27209.0,28368.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1997,American Samoa
54500.0,26663.0,27837.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1996,American Samoa
53401.0,26103.0,27298.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1995,American Samoa
52288.0,25539.0,26750.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1994,American Samoa
51174.0,24976.0,26198.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,1993,American Samoa
50078.0,24422.0,25656.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,87.2993011474609,None,None,None,1992,American Samoa
48992.0,23874.0,25117.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,92.5821380615234,None,None,None,1991,American Samoa
47818.0,23281.0,24538.0,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,None,None,None,98.8927307128906,None,None,None,1990,American Samoa
46288.0,22526.0,23762.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,98.7284622192383,19.4813499450684,None,None,1989,American Samoa
44532.0,21679.0,22853.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,99.1982192993164,None,None,None,1988,American Samoa
42842.0,20868.0,21974.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,100.372611999512,None,None,None,1987,American Samoa
41221.0,20090.0,21130.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,103.022201538086,None,None,None,1986,American Samoa
39663.0,19339.0,20325.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,105.082420349121,None,None,None,1985,American Samoa
25978935.0,13079142.0,12899794.0,None,None,None,None,None,None,None,3.661,1675418665067.09,None,-60741836419.9952,53155818552.362,None,None,None,None,None,None,None,None,None,2022,Australia
25688079.0,12936002.0,12752077.0,12.1,6.7,10.0,18.76054,2.425497,1.747069,7.98562,5.12,1552703151616.01,None,-17210636259.4579,35814692202.1945,None,None,None,81.3,85.4,None,None,None,None,2021,Australia
25655289.0,12924403.0,12730885.0,11.5,6.3,10.0,19.1911,2.765993,1.909099,8.16198,6.46,1326944627876.87,None,-29835407820.0265,26699495766.1455,None,10.89,None,81.2,85.3,99.0216064453125,114.189888000488,None,None,2020,Australia
25340217.0,12769708.0,12570509.0,12.1,6.7,10.0,19.05847,2.558299,1.720951,7.504676,5.16,1392218527563.26,None,-46506625597.039,29461968056.5377,None,10.06,None,80.9,85.0,99.7271499633789,115.952041625977,None,None,2019,Australia
24966643.0,12582741.0,12383903.0,12.6,6.3,10.0,19.88763,2.616846,1.681561,8.188482,5.3,1428266513154.48,None,-44698947438.9009,35108365708.2487,None,9.6,None,80.7,84.9,100.160591125488,107.808052062988,None,None,2018,Australia
24594202.0,12393526.0,12200675.0,12.6,6.5,10.0,19.43012,2.596055,1.657224,7.664126,5.59,1326467487376.42,None,-36004406256.5245,35857341756.7335,None,9.65,None,80.5,84.6,100.338981628418,113.142158508301,None,None,2017,Australia
24190907.0,12185645.0,12005262.0,12.9,6.6,10.0,19.71303,2.617486,1.752198,7.734935,5.71,1206562910556.58,None,-28387608842.6844,29012168265.9118,None,9.36,None,80.4,84.6,100.744407653809,120.965713500977,None,None,2016,Australia
23815995.0,11988344.0,11827651.0,12.9,6.6,10.0,20.06564,2.636502,1.852797,7.832844,6.05,1350580336316.75,None,-27437504554.6302,32089184097.5053,None,9.32,89.6256301102374,80.4,84.5,101.599906921387,118.610862731934,None,None,2015,Australia
23475686.0,11807077.0,11668610.0,13.2,6.6,10.0,20.98024,2.79832,1.830262,8.324759,6.08,1467589901175.46,None,-38311090391.1073,32593483073.8655,10071.3989785006,9.33,93.386835655426,80.3,84.4,105.457092285156,None,None,None,2014,Australia
23128129.0,11623605.0,11504523.0,13.3,6.4,10.0,20.45163,2.618184,1.671289,8.321384,5.66,1576329690003.93,None,-39199518076.405,36029413890.0591,10220.8873013463,9.22,93.70804882449,80.1,84.3,105.993850708008,None,None,None,2013,Australia
22733465.0,11420547.0,11312918.0,13.7,6.6,10.0,20.70469,2.801783,1.920442,8.385042,5.22,1546952690139.99,None,-47025969273.7014,35077677326.1885,10407.7403070759,8.3,94.3770061151001,79.9,84.3,105.984451293945,None,None,None,2012,Australia
