Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
93763.0,48981.0,44782.0,None,None,None,None,None,None,None,None,1757603703.7037,None,-58048180.0281111,32644444.4444444,None,None,None,None,None,None,None,None,None,2022,Antigua and Barbuda
93219.0,48709.0,44511.0,12.115,6.365,11.0,None,None,None,None,None,1560518518.51852,None,-63247469.7856726,30970370.3703704,None,0.72,None,75.775,80.941,None,None,None,None,2021,Antigua and Barbuda
92664.0,48428.0,44236.0,12.16,5.961,11.0,None,None,None,None,None,1416348148.14815,None,-19970020.9954021,30340740.7407407,None,0.74,None,76.061,81.316,None,None,None,None,2020,Antigua and Barbuda
92117.0,48156.0,43961.0,11.485,5.865,11.0,None,None,None,None,None,1675403703.7037,None,-80272308.7928041,29251851.8518519,None,0.69,None,75.909,81.171,102.22061920166,None,99.4841537475586,None,2019,Antigua and Barbuda
91626.0,47910.0,43715.0,10.816,5.787,11.0,None,None,None,None,None,1604770370.37037,None,-80226926.5161667,27877777.7777778,None,0.7,None,75.724,81.0,105.021270751953,None,96.1988296508789,None,2018,Antigua and Barbuda
91119.0,47658.0,43461.0,11.789,5.746,11.0,None,None,None,None,None,1467955555.55556,None,-76008652.8253848,26307407.4074074,None,0.45,None,75.52,80.721,103.668960571289,None,98.1857833862305,None,2017,Antigua and Barbuda
90564.0,47388.0,43176.0,11.659,5.662,11.0,None,None,None,None,None,1436585185.18519,None,-97102189.4466389,22525925.9259259,None,0.45,None,75.366,80.645,52.3158760070801,None,93.5878982543945,None,2016,Antigua and Barbuda
89941.0,47087.0,42853.0,12.591,5.649,11.0,None,None,None,None,None,1336692592.59259,None,-84214020.1604341,21551851.8518519,None,0.36,None,75.148,80.389,104.990623474121,None,92.5554809570313,None,2015,Antigua and Barbuda
89236.0,46748.0,42488.0,12.325,5.544,11.0,None,None,None,None,None,1249733333.33333,None,-60754850.999427,20692592.5925926,None,0.11,None,74.908,80.535,106.04670715332,None,111.150321960449,None,2014,Antigua and Barbuda
88497.0,46401.0,42096.0,12.469,5.565,11.0,None,None,None,None,None,1181448148.14815,None,-38660037.037037,23833333.3333333,None,0.11,None,74.671,80.23,106.056823730469,None,108.108108520508,None,2013,Antigua and Barbuda
87674.0,46022.0,41653.0,13.497,5.585,11.0,None,None,None,None,None,1199948148.14815,None,-39626333.3333333,22785185.1851852,None,0.11,None,74.476,79.961,108.030181884766,24.8302593231201,None,None,2012,Antigua and Barbuda
86729.0,45588.0,41141.0,14.313,5.624,11.0,None,None,None,None,None,1137637037.03704,None,-35065111.1111111,21992592.5925926,None,0.06,None,74.244,79.706,110.573486328125,15.0592203140259,103.676948547363,None,2011,Antigua and Barbuda
85695.0,45097.0,40597.0,14.715,5.7,11.0,None,None,None,None,None,1148700000.0,None,-27720333.3333333,18762962.962963,None,0.0,None,73.959,79.434,112.292961120605,16.7262306213379,106.60994720459,None,2010,Antigua and Barbuda
84534.0,44522.0,40012.0,16.632,5.727,11.0,None,None,None,None,None,1228329629.62963,None,-50820296.2962963,18322222.2222222,None,0.0,None,73.796,79.305,111.489028930664,15.0529804229736,101.263298034668,None,2009,Antigua and Barbuda
83251.0,43883.0,39367.0,17.039,5.813,11.0,None,None,None,None,None,1370070370.37037,None,-61084037.037037,21203703.7037037,None,0.0,None,73.509,79.088,114.203872680664,None,110.554801940918,None,2008,Antigua and Barbuda
82016.0,43270.0,38745.0,15.637,5.914,11.0,None,None,None,None,None,1312759259.25926,None,-52667407.4074074,21081481.4814815,None,0.0,0.0,73.277,78.769,114.578590393066,None,None,None,2007,Antigua and Barbuda
80895.0,42715.0,38181.0,15.511,6.077,11.0,None,None,None,None,None,1157662962.96296,None,-46743333.3333333,19125925.9259259,None,0.0,0.0,72.972,78.349,None,None,None,None,2006,Antigua and Barbuda
79869.0,42209.0,37660.0,15.668,6.015,11.0,None,None,None,None,None,1022962962.96296,None,-42040222.2222222,17966666.6666667,None,0.0,0.0,73.07,78.369,None,None,None,None,2005,Antigua and Barbuda
78941.0,41753.0,37188.0,16.013,6.075,11.0,None,None,None,None,None,919729629.62963,None,-45085333.3333333,14807407.4074074,None,0.0,0.0,73.153,77.964,None,None,None,None,2004,Antigua and Barbuda
78075.0,41329.0,36745.0,16.521,6.142,11.0,None,None,None,None,None,856396296.296296,None,-38696296.2962963,14970370.3703704,None,0.0,None,72.742,78.01,None,None,None,None,2003,Antigua and Barbuda
77195.0,40894.0,36301.0,17.202,6.072,11.0,None,None,None,None,None,814381481.481481,None,-41446703.7037037,14096296.2962963,None,0.0,None,72.48,78.433,None,None,None,None,2002,Antigua and Barbuda
76215.0,40383.0,35831.0,18.091,6.305,11.0,None,None,None,None,None,800481481.481481,None,-24788148.1481481,12914814.8148148,None,0.0,None,71.912,78.136,None,None,None,None,2001,Antigua and Barbuda
75055.0,39748.0,35307.0,19.829,6.587,11.0,None,None,None,None,None,826370370.37037,None,-44518888.8888889,13196296.2962963,None,0.0,None,71.503,77.62,127.596000671387,None,None,None,2000,Antigua and Barbuda
73821.0,39039.0,34782.0,17.829,6.734,11.0,None,None,None,None,None,766200000.0,None,-23445185.1851852,12777777.7777778,None,0.0,None,71.368,77.237,None,None,None,None,1999,Antigua and Barbuda
72572.0,38293.0,34279.0,18.474,6.96,11.0,None,None,None,None,None,727859259.259259,None,-21037037.037037,12129629.6296296,None,0.0,None,71.058,76.964,None,None,None,None,1998,Antigua and Barbuda
71218.0,37483.0,33735.0,20.118,7.104,None,None,None,None,None,None,680618518.518518,None,-22155555.5555556,11700000.0,None,0.0,None,71.087,76.768,None,None,None,None,1997,Antigua and Barbuda
69798.0,36627.0,33171.0,20.823,7.257,None,None,None,None,None,None,633729629.62963,None,-26218518.5185185,10237037.037037,None,0.0,None,71.047,76.542,None,None,None,None,1996,Antigua and Barbuda
68398.0,35779.0,32619.0,19.847,7.416,None,None,None,None,None,None,577281481.481481,None,-26859259.2592593,9485185.18518518,None,0.0,None,70.971,76.222,112.856391906738,None,None,None,1995,Antigua and Barbuda
46234830.0,23345532.0,22889298.0,None,None,None,None,None,None,None,6.491,632770284408.51,None,-11327950845.0085,40776787591.3056,None,None,None,None,None,None,None,None,None,2022,Argentina
45808747.0,23130548.0,22678199.0,13.902,8.955,14.0,19.95024,7.652854,3.658348,8.571828,8.74,487227125385.641,None,-9815440124.38405,34746802437.6762,None,None,None,72.182,78.647,None,None,None,None,2021,Argentina
45376763.0,22911069.0,22465694.0,14.125,8.509,14.0,20.45702,7.686438,3.685107,9.711953,11.46,385540406815.599,-8.10902704772269,-10004444283.1996,23627716411.4499,None,9.84,None,72.546,79.285,108.878768920898,99.1662673950195,101.345207214355,None,2020,Argentina
