Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year,Country
41128771.0,20362329.0,20766442.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2022,Afghanistan
40099462.0,19844584.0,20254878.0,35.842,7.344,9.0,None,None,None,None,None,14583135236.5744,None,122352449.727939,4883089769.33996,None,17.86,None,58.915,65.279,None,None,None,55.9294013977051,2021,Afghanistan
38972230.0,19279930.0,19692301.0,36.051,7.113,9.0,18.48131,45.98341,53.91368,26.41834,11.71,20143451705.7548,None,188942063.569555,5402594629.85022,None,17.58,None,59.866,65.432,None,10.5625200271606,None,None,2020,Afghanistan
37769499.0,18679089.0,19090409.0,36.466,6.791,9.0,18.33941,44.51263,59.36147,24.07933,11.085,18904502222.2108,None,300524891.976758,4872440871.18381,None,18.51,None,60.619,66.677,106.701080322266,None,84.3305892944336,None,2019,Afghanistan
36686784.0,18136922.0,18549862.0,36.927,6.981,9.0,18.12015,44.39712,63.66947,23.55313,11.11,18418860354.4238,None,191409175.785759,4060050370.96022,None,17.96,None,59.923,66.458,103.996162414551,9.68642044067383,85.6253280639648,None,2018,Afghanistan
35643418.0,17614722.0,18028696.0,37.342,7.027,9.0,18.02644,43.989,66.61707,23.59966,11.18,18896353155.8839,None,248665016.339125,4992454123.29534,None,19.21,None,60.105,66.099,102.175788879395,None,84.4149475097656,None,2017,Afghanistan
34636207.0,17115346.0,17520861.0,37.936,7.077,9.0,19.27449,44.37642,66.19894,24.80629,10.086,18019554403.4503,None,179568008.180815,4638289891.41854,None,19.92,None,61.193,65.096,102.486473083496,None,80.4950408935547,None,2016,Afghanistan
33753499.0,16682054.0,17071446.0,38.803,7.331,9.0,20.66918,44.65121,65.68285,26.0521,8.989,19998143635.873,None,180788998.012871,4126481495.1712,None,17.53,None,60.76,64.576,103.534523010254,None,None,64.3399963378906,2015,Afghanistan
32716210.0,16172321.0,16543889.0,39.105,7.395,9.0,22.04671,44.79854,64.95338,27.4106,7.91,20550582746.8448,None,-2378156.25136469,4549291004.84737,None,18.93,None,60.812,64.274,105.919708251953,8.23068046569824,None,None,2014,Afghanistan
31541209.0,15594637.0,15946572.0,39.601,7.478,9.0,19.53853,47.64077,67.85356,25.20403,7.949,20564485419.1684,None,71748547.6953636,4690895412.39673,None,16.86,None,60.791,64.027,104.498428344727,None,None,None,2013,Afghanistan
30466479.0,15067373.0,15399105.0,40.009,7.711,9.0,17.19253,50.17682,70.50992,23.03783,8.019,20203572959.5023,None,31813349.5936875,4927827948.56387,None,15.36,None,60.317,63.514,103.492393493652,None,None,None,2012,Afghanistan
29249157.0,14468875.0,14780282.0,39.855,7.931,9.0,15.77764,52.67994,73.42132,20.42934,7.947,18190413831.9037,None,-19834370.1200077,4319070738.22919,None,12.61,None,59.825,62.993,97.6416397094727,3.62226009368896,None,46.9900512695313,2011,Afghanistan
28189672.0,13949295.0,14240377.0,40.602,8.254,9.0,15.21198,53.78926,76.35602,17.53928,8.068,15633843661.8051,None,27538868.7368818,4097641138.7977,None,15.15,None,59.278,62.408,100.071708679199,None,None,None,2010,Afghanistan
27385307.0,13557331.0,13827977.0,41.157,8.535,9.0,13.82961,56.27216,78.33239,15.85615,8.082,12154835707.8987,None,-34659503.2290114,3561063119.72181,None,16.53,None,58.82,61.892,96.8964004516602,3.77498006820679,None,None,2009,Afghanistan
26427199.0,13088192.0,13339006.0,41.506,8.832,9.0,12.39661,58.90637,81.32214,13.17623,8.022,10249770318.5697,None,None,2551400502.69057,None,21.17,None,58.172,61.529,100.779731750488,None,None,None,2008,Afghanistan
25903301.0,12835340.0,13067961.0,43.858,9.359,6.0,12.03366,59.61623,82.39261,12.23222,8.108,9715765105.48016,None,None,2924932188.46323,None,28.78,None,57.342,60.909,98.9335098266602,None,None,None,2007,Afghanistan
25442944.0,12614497.0,12828447.0,44.721,9.679,6.0,11.40802,61.01674,84.07625,10.92728,8.054,6971383338.70803,None,None,1996323142.77531,None,31.89,None,57.133,60.243,101.697853088379,None,None,None,2006,Afghanistan
24411191.0,12109086.0,12302104.0,45.263,9.941,6.0,10.89879,61.81535,85.17677,10.0268,8.113,6226198934.83329,None,None,1937272765.10973,None,33.88,None,57.013,59.697,98.0998916625977,None,None,None,2005,Afghanistan
23553551.0,11690825.0,11862726.0,46.33,10.277,6.0,10.10977,63.05186,86.39676,9.143875,8.053,5220825048.64637,None,None,1551684917.84982,None,44.24,None,56.658,59.216,104.663818359375,1.19937002658844,None,None,2004,Afghanistan
22645130.0,11247647.0,11397483.0,47.35,10.698,6.0,9.739044,63.34015,86.72085,8.786016,8.122,4539496562.95373,None,None,1698627656.73833,None,36.66,None,56.032,58.65,93.3621826171875,1.20234000682831,None,None,2003,Afghanistan
21000256.0,10438055.0,10562202.0,48.201,11.28,6.0,9.271434,64.08779,87.5259,8.18386,8.186,3854235264.37171,None,None,1488809830.09966,None,37.83,None,55.227,57.672,68.9868469238281,None,None,None,2002,Afghanistan
19688632.0,9793166.0,9895467.0,48.979,11.713,6.0,8.361796,66.05487,88.712,7.53183,8.04,None,None,0.0,None,None,45.6,None,54.272,57.344,20.8829097747803,None,None,None,2001,Afghanistan
19542982.0,9727541.0,9815442.0,49.664,12.096,6.0,8.636017,65.47169,88.07875,7.844514,8.054,None,None,None,None,None,44.99,None,53.762,56.858,20.9575805664063,None,None,None,2000,Afghanistan
19262847.0,9595036.0,9667811.0,50.351,12.463,6.0,8.958789,64.98719,87.46256,8.272681,8.07,None,None,None,None,None,43.44,None,53.41,56.3,25.3079700469971,None,None,None,1999,Afghanistan
18493132.0,9217591.0,9275541.0,50.88,13.565,6.0,9.289663,64.61451,86.82232,8.832011,8.082,None,None,None,None,None,38.02,None,51.134,54.818,31.0533504486084,None,None,None,1998,Afghanistan
17788819.0,8871958.0,8916862.0,51.4,13.334,None,9.635636,64.26736,86.20139,9.42873,8.089,None,None,None,None,None,36.42,None,52.153,55.151,None,None,None,None,1997,Afghanistan
17106595.0,8537421.0,8569175.0,51.873,13.627,None,10.0015,63.85911,85.5619,10.04247,8.165,None,None,None,None,None,33.89,None,51.722,54.806,None,None,None,None,1996,Afghanistan
16418912.0,8199445.0,8219467.0,52.073,14.092,None,10.10013,63.88614,85.21585,10.48767,8.26,None,None,None,None,None,31.8,None,51.039,54.087,42.7514305114746,None,None,None,1995,Afghanistan
2780469.0,1530390.0,1250079.0,None,None,None,None,None,None,None,12.557,19502783987.8807,None,-848614886.484621,2021341611.77038,None,None,None,None,None,None,None,None,None,2022,Armenia
