Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
Fast X,2023,"['Action', 'Crime', 'Thriller']",Dan Mazeau,2h 22m,72.0,Released,English,"$340,000,000.00","$704,709,660.00"
Trolls Band Together,2023,"['Animation', 'Family', 'Music', 'Fantasy', 'Comedy']",Thomas Dam,1h 32m,72.0,Released,English,"$95,000,000.00","$173,800,000.00"
Robot Apocalypse,2021,"['Science Fiction', 'Action']",Marcus Friedlander,1h 27m,21.0,Released,English,-,-
Five Nights at Freddy's,2023,"['Horror', 'Mystery']",Emma Tammi,1h 50m,78.0,Released,English,"$20,000,000.00","$286,700,000.00"
Oppenheimer,2023,"['Drama', 'History']",Christopher Nolan,3h 1m,81.0,Released,English,"$100,000,000.00","$951,000,000.00"
Wifelike,2022,"['Science Fiction', 'Mystery', 'Thriller']",James Bird,1h 46m,71.0,Released,English,-,-
The Bad Guys: A Very Bad Holiday,2023,"['Animation', 'Comedy', 'Family']",Bret Haaland,26m,61.0,Released,English,-,-
Freelance,2023,"['Action', 'Comedy']",Pierre Morel,1h 48m,65.0,Released,English,"$40,000,000.00","$8,000,000.00"
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"['Action', 'Romance', 'Drama']",Francis Lawrence,2h 37m,73.0,Released,English,"$100,000,000.00","$258,400,000.00"
Mission: Impossible - Dead Reckoning Part One,2023,"['Action', 'Thriller']",Christopher McQuarrie,2h 44m,76.0,Released,English,"$291,000,000.00","$567,148,955.00"
Come Out Fighting,2023,"['War', 'Drama', 'Action']",Steven Luke,1h 35m,51.0,Released,English,-,-
Reign of Chaos,2022,"['Action', 'Horror', 'Fantasy']",Rebecca Matthews,1h 17m,55.0,Released,English,"$10,000.00",$100.00
Killers of the Flower Moon,2023,"['Crime', 'Drama', 'History']",Martin Scorsese,3h 26m,77.0,Released,English,"$200,000,000.00","$155,500,000.00"
The Creator,2023,"['Action', 'Adventure', 'Drama']",Gareth Edwards,2h 14m,71.0,Released,English,"$80,000,000.00","$104,000,000.00"
Shockwave: Countdown to Disaster,2017,"['Action', 'Science Fiction', 'Adventure', 'Thriller']",Nick Lyon,1h 30m,56.0,Released,English,-,-
The Dark Kingdom,2018,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']",Simon Wells,1h 25m,53.0,Released,English,"$126,580.00",-
The Marvels,2023,"['Science Fiction', 'Adventure', 'Action']",Nia DaCosta,1h 45m,66.0,Released,English,"$274,800,000.00","$199,400,000.00"
Leo,2023,"['Animation', 'Comedy', 'Family']",Robert Smigel,1h 42m,76.0,Released,English,-,-
Expend4bles,2023,"['Action', 'Adventure', 'Thriller']",Tad Daggerhart,1h 43m,64.0,Released,English,"$100,000,000.00","$58,000,000.00"
Wonka,2023,"['Comedy', 'Family', 'Fantasy']",Paul King,1h 57m,69.0,Released,English,"$125,000,000.00","$43,200,000.00"
Avatar: The Way of Water,2022,"['Science Fiction', 'Adventure', 'Action']",James Cameron,3h 12m,77.0,Released,English,"$460,000,000.00","$2,320,250,281.00"
How the Grinch Stole Christmas,2000,"['Family', 'Comedy', 'Fantasy']",Ron Howard,1h 44m,68.0,Released,English,"$123,000,000.00","$345,800,000.00"
The Naughty Nine,2023,"['Family', 'Adventure', 'Comedy', 'TV Movie']",Alberto Belli,1h 23m,62.0,Released,English,-,-
Inferno,1999,"['Action', 'Drama', 'Romance']",John G. Avildsen,1h 35m,61.0,Released,English,"$15,000,000.00",-
Krampus,2015,"['Horror', 'Comedy', 'Fantasy']",Michael Dougherty,1h 38m,62.0,Released,English,"$15,000,000.00","$61,788,393.00"
Spider-Man: Across the Spider-Verse,2023,"['Animation', 'Action', 'Adventure', 'Science Fiction']",Joaquim Dos Santos,2h 20m,84.0,Released,English,"$100,000,000.00","$690,500,000.00"
Napoleon,2023,"['Drama', 'History', 'War']",Ridley Scott,2h 38m,64.0,Released,English,"$165,000,000.00","$170,800,000.00"
The Grinch,2018,"['Animation', 'Family', 'Comedy', 'Fantasy']",Scott Mosier,1h 25m,68.0,Released,English,"$75,000,000.00","$508,600,000.00"
The Immortal Wars: Rebirth,2021,['Science Fiction'],Joe Lujan,1h 24m,35.0,Released,English,-,-
Transformers: Rise of the Beasts,2023,"['Action', 'Adventure', 'Science Fiction']",Joby Harold,2h 7m,74.0,Released,English,"$195,000,000.00","$429,800,000.00"
Candy Cane Lane,2023,"['Comedy', 'Fantasy', 'Family']",Reginald Hudlin,2h,64.0,Released,English,-,-
Godzilla Minus One,2023,"['Drama', 'Science Fiction', 'Action']",Takashi Yamazaki,2h 5m,85.0,Released,Japanese,"$13,000,000.00","$52,000,000.00"
The Equalizer 3,2023,"['Action', 'Thriller', 'Crime']",Richard Lindheim,1h 49m,74.0,Released,English,"$70,000,000.00","$190,000,000.00"
Meg 2: The Trench,2023,"['Action', 'Science Fiction', 'Horror']",Ben Wheatley,1h 56m,67.0,Released,English,"$129,000,000.00","$384,056,482.00"
Mousa,2021,"['Action', 'Adventure', 'Science Fiction']",Peter Mimi,1h 41m,66.0,Released,Arabic,-,-
John Wick: Chapter 4,2023,"['Action', 'Thriller', 'Crime']",Derek Kolstad,2h 50m,78.0,Released,English,"$90,000,000.00","$426,978,565.00"
Princess Khutulun,2021,"['History', 'Action', 'Drama']",S. Baasanjargal,1h 48m,71.0,Released,Mongolian,-,-
The Super Mario Bros. Movie,2023,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']",Michael Jelenic,1h 33m,77.0,Released,English,"$100,000,000.00","$1,362,000,000.00"
Agent Jade Black,2020,['Action'],Terry Spears,1h 41m,13.0,Released,English,-,-
A Man of Reason,2023,"['Action', 'Drama', 'Thriller']",Jung Woo-sung,1h 43m,66.0,Released,Korean,-,-
The Hunger Games: Mockingjay - Part 1,2014,"['Science Fiction', 'Adventure', 'Thriller']",Francis Lawrence,2h 3m,68.0,Released,English,"$125,000,000.00","$755,356,711.00"
Barbie,2023,"['Comedy', 'Adventure', 'Fantasy']",Greta Gerwig,1h 54m,72.0,Released,English,"$145,000,000.00","$1,441,800,000.00"
Blue Beetle,2023,"['Action', 'Science Fiction', 'Adventure']",Ángel Manuel Soto,2h 8m,69.0,Released,English,"$104,000,000.00","$128,600,000.00"
Elemental,2023,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",Peter Sohn,1h 42m,77.0,Released,English,"$200,000,000.00","$490,797,988.00"
The Nun II,2023,"['Horror', 'Mystery', 'Thriller']",Akela Cooper,1h 50m,69.0,Released,English,"$38,500,000.00","$268,100,000.00"
PAW Patrol: The Mighty Movie,2023,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy']",Cal Brunker,1h 32m,69.0,Released,English,"$30,000,000.00","$192,400,000.00"
Saw X,2023,"['Horror', 'Thriller']",Kevin Greutert,1h 58m,74.0,Released,English,"$13,000,000.00","$100,900,000.00"
Top Gun: Maverick,2022,"['Action', 'Drama']",Jack Epps Jr.,2h 11m,82.0,Released,English,"$170,000,000.00","$1,488,732,821.00"
Sound of Freedom,2023,"['Action', 'Drama']",Alejandro Gómez Monteverde,2h 11m,81.0,Released,English,"$14,500,000.00","$249,125,713.00"
Home Alone 2: Lost in New York,1992,"['Comedy', 'Family', 'Adventure']",Chris Columbus,2h,67.0,Released,English,"$18,000,000.00","$358,994,850.00"
Casper's Haunted Christmas,2000,"['Animation', 'Family', 'Fantasy']",Owen Hurley,1h 24m,53.0,Released,English,-,-
Jawan,2023,"['Action', 'Adventure', 'Thriller']",Atlee,2h 49m,73.0,Released,Hindi,"$36,150,000.00","$136,698,671.00"
Denard: Anatomy of an Antihero,2021,['Action'],Alan Delabie,1h 20m,0.0,Released,English,-,-
Extraction Point,2021,"['Science Fiction', 'Action', 'Thriller']",Franklin Correa,1h 13m,57.0,Released,English,-,-
Indiana Jones and the Dial of Destiny,2023,"['Adventure', 'Action']",James Mangold,2h 35m,67.0,Released,English,"$294,700,000.00","$383,922,132.00"
Gran Turismo,2023,"['Adventure', 'Action', 'Drama']",Neill Blomkamp,2h 15m,80.0,Released,English,"$60,000,000.00","$114,800,000.00"
Wish,2023,"['Animation', 'Family', 'Fantasy', 'Adventure']",Fawn Veerasunthorn,1h 35m,67.0,Released,English,"$175,000,000.00","$105,500,000.00"
Godzilla x Kong: The New Empire,2024,"['Action', 'Science Fiction', 'Adventure']",Adam Wingard, -,0.0,In Production,English,-,-
Dragon Ball: Mystical Adventure,1988,"['Action', 'Animation']",Kazuhisa Takenouchi,48m,68.0,Released,Japanese,-,"$8,201,600.00"
Hell House LLC Origins: The Carmichael Manor,2023,"['Horror', 'Mystery']",Stephen Cognetti,1h 38m,63.0,Released,English,-,-
Family Switch,2023,"['Comedy', 'Fantasy', 'Family']",McG,1h 46m,64.0,Released,English,-,-
Retribution,2023,"['Action', 'Thriller', 'Crime']",Nimród Antal,1h 31m,70.0,Released,English,"$20,000,000.00","$16,700,000.00"
Godland,2022,['Drama'],Hlynur Pálmason,2h 23m,70.0,Released,Danish,"$5,000,000.00","$60,115.00"
My Fault,2023,"['Drama', 'Romance']",Domingo González,1h 57m,81.0,Released,Spanish; Castilian,-,-
Charlie and the Chocolate Factory,2005,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Roald Dahl,1h 55m,70.0,Released,English,"$150,000,000.00","$475,000,000.00"
Godzilla vs. Kong,2021,"['Action', 'Science Fiction', 'Thriller']",Adam Wingard,1h 54m,76.0,Released,English,"$200,000,000.00","$470,116,094.00"
A Tale of Two Guns,2022,['Western'],Justin Lee,1h 31m,53.0,Released,English,-,-
No Name and Dynamite,2022,['Western'],Errol Sack,1h 31m,55.0,Released,English,-,-
Mega Lightning,2022,"['Action', 'Horror', 'Science Fiction']",David Gregory,1h 30m,45.0,Released,English,-,-
The Exorcist: Believer,2023,['Horror'],David Gordon Green,1h 51m,62.0,Released,English,"$30,000,000.00","$134,800,000.00"
Spider-Man: No Way Home,2021,"['Action', 'Adventure', 'Science Fiction']",Steve Ditko,2h 28m,80.0,Released,English,"$200,000,000.00","$1,921,847,111.00"
Puss in Boots: The Last Wish,2022,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Action']",Tommy Swerdlow,1h 43m,83.0,Released,English,"$90,000,000.00","$484,700,000.00"
Aquaman and the Lost Kingdom,2023,"['Action', 'Adventure', 'Fantasy']",James Wan,2h 4m,0.0,Post Production,English,"$215,000,000.00",-
Mavka: The Forest Song,2023,"['Animation', 'Adventure', 'Family', 'Fantasy']",Oleksandra Ruban,1h 39m,73.0,Released,Ukrainian,"$5,000,000.00","$17,300,000.00"
Blood Widow,2014,['Horror'],Jeremiah Buckhalt,1h 24m,48.0,Released,English,-,-
The Flash,2023,"['Action', 'Adventure', 'Science Fiction']",Carmine Infantino,2h 24m,68.0,Released,English,"$300,000,000.00","$268,400,000.00"
Leave the World Behind,2023,"['Drama', 'Mystery', 'Thriller', 'Science Fiction']",Sam Esmail,2h 21m,67.0,Released,English,-,-
The Survivor,2022,"['History', 'Action', 'Drama']",Barry Levinson,2h 9m,72.0,Released,English,-,-
Christmas Bloody Christmas,2022,['Horror'],Joe Begos,1h 27m,56.0,Released,English,-,-
Big Tit Monastery,1995,[],Sachi Hamano,1h,60.0,Released,Japanese,-,-
Thanksgiving,2023,"['Horror', 'Thriller', 'Mystery']",Eli Roth,1h 46m,63.0,Released,English,"$15,000,000.00","$42,300,000.00"
The Mercenary,2020,['Action'],Jesse V. Johnson,1h 31m,63.0,Released,English,-,-
Willy Wonka & the Chocolate Factory,1971,"['Family', 'Fantasy', 'Comedy']",Mel Stuart,1h 39m,75.0,Released,English,"$3,000,000.00","$4,000,000.00"
Believer 2,2023,"['Crime', 'Action', 'Thriller']",Baik,1h 56m,71.0,Released,Korean,-,-
Muzzle,2023,"['Action', 'Crime', 'Drama', 'Thriller']",John Stalberg Jr.,1h 40m,66.0,Released,English,-,"$7,807.00"
May December,2023,"['Drama', 'Comedy']",Samy Burch,1h 57m,67.0,Released,English,"$20,000,000.00","$223,505.00"
Infinite,2021,"['Science Fiction', 'Action', 'Thriller']",Antoine Fuqua,1h 46m,66.0,Released,English,-,-
Godzilla: King of the Monsters,2019,"['Science Fiction', 'Action']",Michael Dougherty,2h 12m,67.0,Released,English,"$170,000,000.00","$386,600,138.00"
Deadpool 2,2018,"['Action', 'Comedy', 'Adventure']",David Leitch,2h,75.0,Released,English,"$110,000,000.00","$785,900,000.00"
Iké Boys,2022,"['Fantasy', 'Adventure']",Eric McEver,1h 28m,55.0,Released,English,-,-
Guardians of the Galaxy Vol. 3,2023,"['Science Fiction', 'Adventure', 'Action']",James Gunn,2h 30m,80.0,Released,English,"$250,000,000.00","$845,600,000.00"
Exploits of a Young Don Juan,1986,"['Comedy', 'Drama']",Gianfranco Mingozzi,1h 40m,56.0,Released,French,-,-
White Sky,2021,"['Science Fiction', 'Horror']",Adam Wilson,1h 45m,30.0,Released,English,-,-
Girl Next,2021,"['Horror', 'Thriller']",Larry Wade Carrell,1h 42m,56.0,Released,English,"$1,000,000.00",-
Talk to Me,2023,"['Horror', 'Thriller']",Danny Philippou,1h 35m,72.0,Released,English,"$4,500,000.00","$90,600,000.00"
The Velveteen Rabbit,2023,"['Animation', 'Family', 'Fantasy']",Jennifer Perrott,44m,75.0,Released,English,-,-
